identity_id,first_name,last_name,middle_name,dob,ssn,phone,email,street_address,city,state,zip_code,gender,created_date,source_system,full_name,full_address,age,phone_formatted,ssn_masked,income_bracket,employment_status,marital_status
70a8959a-8f6c-48b2-a46c-8c78f2dc1f45,Sara,Thompson,,1998-05-21,545-11-7687,(970) 991-7233,steven39@example.org,595 Arellano Union Apt. 746,Longmont,CO,80238,M,2024-03-10,SOCIAL_SERVICES,Sara  Thompson,"595 Arellano Union Apt. 746, Longmont, CO 80238",27,(970) 991-7233,***-**-7687,High,Employed,Single
6e039270-dfe3-423f-8945-46dc90ad3b96,Anthony,Moon,Garrett,1946-05-22,759-79-8702,(303) 237-3622,bjohnson@example.com,3535 Mccoy Neck Suite 405,Broomfield,CO,80224,M,2025-03-22,DMV,Anthony Garrett Moon,"3535 Mccoy Neck Suite 405, Broomfield, CO 80224",79,(303) 237-3622,***-**-8702,High,Employed,Single
893ba03a-bc44-475c-8d2d-13fd10052e2a,Courtney,Harris,,1989-06-28,993-55-3407,(720) 238-5533,peggyoliver@example.com,972 Cooper Plains,Westminster,CO,80015,M,2024-04-03,SOCIAL_SERVICES,Courtney  Harris,"972 Cooper Plains, Westminster, CO 80015",36,(720) 238-5533,***-**-3407,Low,Student,Widowed
1e13bf03-68b5-49fd-9015-eafa31bb86a0,Jennifer,Taylor,,1966-10-12,378-52-6574,(970) 654-9534,lthomas@example.com,5304 Howell Courts,Commerce City,CO,80207,M,2025-01-23,DMV,Jennifer  Taylor,"5304 Howell Courts, Commerce City, CO 80207",59,(970) 654-9534,***-**-6574,High,Retired,Divorced
7fd3f166-5efa-42bf-86df-b8ffde34488b,John,Krueger,Melody,1953-07-29,114-62-3000,(303) 829-9570,jlara@example.net,020 Perry Prairie,Arvada,CO,80212,F,2023-09-19,TAX_DEPT,John Melody Krueger,"020 Perry Prairie, Arvada, CO 80212",72,(303) 829-9570,***-**-3000,Very High,Student,Divorced
c573e1df-87e0-4901-be37-bd9ef62a8c91,Keith,Ortiz,,1958-11-21,840-86-4404,(970) 942-4811,palmerjohn@example.net,6484 Meyers Canyon,Broomfield,CO,80219,Other,2024-05-31,SOCIAL_SERVICES,Keith  Ortiz,"6484 Meyers Canyon, Broomfield, CO 80219",67,(970) 942-4811,***-**-4404,Medium,Employed,Divorced
a57ef7ba-9e9c-49fd-a070-e7d16dc03a0f,Amber,Keith,,1982-12-17,521-61-9399,(303) 858-8133,awoodard@example.org,35179 Clark Garden,Thornton,CO,80218,F,2024-04-26,HEALTH_DEPT,Amber  Keith,"35179 Clark Garden, Thornton, CO 80218",43,(303) 858-8133,***-**-9399,Very High,Student,Single
ab1b5f9f-29cb-466b-a6d7-e2abce623422,Jacob,Horton,,1950-05-31,280-71-6853,(720) 240-2077,wendy38@example.org,070 Kevin Estates Suite 415,Lakewood,CO,80226,Other,2025-07-06,TAX_DEPT,Jacob  Horton,"070 Kevin Estates Suite 415, Lakewood, CO 80226",75,(720) 240-2077,***-**-6853,Medium,Retired,Married
b5528af9-b9ab-46d6-9613-fe41c3b900e8,Thomas,Lee,,1990-11-12,953-42-2257,(720) 272-6526,npacheco@example.net,814 Ann Ridges,Grand Junction,CO,80212,Other,2024-11-11,SOCIAL_SERVICES,Thomas  Lee,"814 Ann Ridges, Grand Junction, CO 80212",35,(720) 272-6526,***-**-2257,High,Employed,Single
1d82c3a3-101d-4009-878e-5a029a1e8f5a,Patricia,Williams,,1945-03-15,417-71-6543,(303) 504-2338,mkelley@example.com,6400 Small Meadow Apt. 732,Boulder,CO,80203,Other,2024-01-30,TAX_DEPT,Patricia  Williams,"6400 Small Meadow Apt. 732, Boulder, CO 80203",80,(303) 504-2338,***-**-6543,Very High,Employed,Divorced
a193f026-83cb-4253-ae40-4103e48c2b64,Miguel,Young,,1982-02-21,654-57-7087,(970) 547-1001,michaelhess@example.org,60234 Jessica Fields,Parker,CO,80232,F,2025-08-05,HEALTH_DEPT,Miguel  Young,"60234 Jessica Fields, Parker, CO 80232",43,(970) 547-1001,***-**-7087,Medium,Student,Single
29bbbc60-16ad-41f0-8cc3-dfa02df301c7,Jonathan,Estrada,Martin,1946-11-05,626-35-1349,(303) 438-9572,kendra95@example.org,41050 Bond Track,Colorado Springs,CO,80104,F,2025-03-03,DMV,Jonathan Martin Estrada,"41050 Bond Track, Colorado Springs, CO 80104",79,(303) 438-9572,***-**-1349,Medium,Employed,Widowed
984e7044-4410-4742-bf95-06fb2de43a60,Angela,Luna,,1997-02-22,713-49-6771,(303) 531-4188,david50@example.org,5483 Scott Lane,Centennial,CO,80237,Other,2024-11-24,HEALTH_DEPT,Angela  Luna,"5483 Scott Lane, Centennial, CO 80237",28,(303) 531-4188,***-**-6771,Medium,Retired,Divorced
7ecd335f-027b-4f80-b905-4ad42224e0fd,John,Griffin,Rodney,1938-12-21,329-98-6102,(720) 771-8121,steve73@example.com,455 Christopher Harbors,Aurora,CO,80226,Other,2024-04-01,DMV,John Rodney Griffin,"455 Christopher Harbors, Aurora, CO 80226",87,(720) 771-8121,***-**-6102,Low,Retired,Divorced
18a36733-d9b9-4017-9828-60bb2ab7671a,Debra,Simmons,Maria,1949-12-03,886-36-1139,(970) 503-3023,nicholas00@example.org,907 Carter Parkways Suite 185,Westminster,CO,80104,M,2025-07-26,TAX_DEPT,Debra Maria Simmons,"907 Carter Parkways Suite 185, Westminster, CO 80104",76,(970) 503-3023,***-**-1139,Medium,Employed,Widowed
503a215f-1a45-4ba9-bc67-508eb8070229,Caitlin,Ford,Raymond,1945-12-03,838-10-9679,(720) 847-3839,millerbecky@example.com,5672 Townsend Crossroad Suite 907,Fort Collins,CO,80107,F,2024-05-03,HEALTH_DEPT,Caitlin Raymond Ford,"5672 Townsend Crossroad Suite 907, Fort Collins, CO 80107",80,(720) 847-3839,***-**-9679,Very High,Unemployed,Widowed
1fb7b679-b8f6-4594-8f42-b7e2365c4623,Patricia,Clements,Stephen,1993-12-23,704-79-7239,(970) 826-7983,lindsey78@example.net,88437 Kelly Wall,Loveland,CO,80236,F,2024-10-17,DMV,Patricia Stephen Clements,"88437 Kelly Wall, Loveland, CO 80236",32,(970) 826-7983,***-**-7239,Low,Employed,Single
863daf07-d18d-4914-946a-1489da1179d0,George,Hart,,1982-10-23,471-62-3297,(970) 876-7387,garciajoseph@example.com,47355 Nicholas Lake Suite 556,Commerce City,CO,80020,Other,2025-01-26,HEALTH_DEPT,George  Hart,"47355 Nicholas Lake Suite 556, Commerce City, CO 80020",43,(970) 876-7387,***-**-3297,Very High,Unemployed,Widowed
54b21652-befb-4454-9957-8dcad8ab2eeb,Edward,Fields,,1944-07-10,108-83-6493,(720) 783-8303,leblancrobert@example.net,40741 Schaefer Drive Suite 402,Pueblo,CO,80235,Other,2024-12-08,SOCIAL_SERVICES,Edward  Fields,"40741 Schaefer Drive Suite 402, Pueblo, CO 80235",81,(720) 783-8303,***-**-6493,Low,Student,Divorced
ef466eb0-24c1-4f6b-a4bd-eccc51574011,Mark,Wolfe,,1948-03-28,638-12-2553,(720) 578-6997,kkim@example.net,3888 Stewart Burg,Castle Rock,CO,80212,M,2023-10-26,TAX_DEPT,Mark  Wolfe,"3888 Stewart Burg, Castle Rock, CO 80212",77,(720) 578-6997,***-**-2553,Medium,Employed,Single
