identity_id,first_name,last_name,middle_name,dob,ssn,phone,email,street_address,city,state,zip_code,gender,created_date,source_system
ad29d19a-6d20-4afc-809a-68ffc5e984ea,George,Kramer,,1988-02-05,327-93-3861,(970) 873-2420,ilarsen@example.net,44529 Jennifer Parks Suite 908,Denver,CO,80237,Other,2024-09-12,HEALTH_DEPT
70b676aa-a611-4d47-8e49-0a425229a257,Joshua,Day,Lisa,1949-01-30,294-68-3692,(303) 414-5384,audreykaiser@example.net,956 Harper Ville,Broomfield,CO,80209,Other,2025-08-14,HEALTH_DEPT
8f8ee777-0620-401c-930a-436de3d1a829,James,Holt,,1954-01-31,450-35-7429,(303) 739-4823,cschroeder@example.org,084 Vega Corners,Fort Collins,CO,80231,F,2025-02-17,DMV
05c318a4-d2bf-4f10-8739-5b045e47b736,Michael,Moore,,1939-07-06,396-44-5871,(970) 795-4758,matthew80@example.org,908 Gomez Island,Loveland,CO,80233,Other,2025-06-20,TAX_DEPT
a47c02d1-8315-4247-8de1-f08f43fa6404,Eric,Howell,,1969-04-09,445-97-8225,(970) 890-1447,hodgejoshua@example.org,969 Brady Grove,Castle Rock,CO,80033,M,2024-06-07,SOCIAL_SERVICES
dfe661e6-26a9-48af-862a-5680fb8d721f,Cynthia,Harris,,2004-02-06,591-31-6876,(970) 583-9958,michelle07@example.org,023 Walker Mountains,Westminster,CO,80107,Other,2025-05-31,VOTER_REG
4e6a80fb-52fc-434a-b7bc-11568770297f,David,White,Christine,1944-11-25,420-37-6138,(303) 906-9976,jackbrewer@example.org,9624 Jackson Glen Apt. 739,Pueblo,CO,80024,F,2025-07-12,DMV
a973d484-7f85-4c5d-a0bb-9c7d67160449,Peter,Sexton,,2004-11-15,226-65-1468,(720) 974-3900,laurie22@example.com,697 Charles Field Suite 595,Aurora,CO,80222,Other,2024-08-30,TAX_DEPT
e07f5729-3a62-4513-8b9d-52dd4d5f5b25,Alvin,Wilson,Brittney,1998-12-09,538-25-6361,(970) 573-5823,hamptonapril@example.com,030 Haley Roads,Colorado Springs,CO,80230,F,2024-11-29,SOCIAL_SERVICES
e4605f9a-106f-4b67-a8ae-5f320158612c,Jennifer,Crawford,,1962-12-15,707-52-4864,(970) 634-4183,jonathansmith@example.org,08541 Randy Corner,Pueblo,CO,80017,M,2024-02-18,DMV
